#[纳什博弈 R][深藏不露 B][后手胜][2023.08.05 11:47 线上][2023 CCGC];
R:A5-1;A4-6;A3-3;B5-2;B4-4;C5-5;
B:C1-5;D2-4;D1-2;E3-3;E2-6;E1-1;
1:1;(R1,B4)
2:3;(B3,B2)
3:6;(R6,C4)
4:1;(B1,E2)
5:1;(R1,C3)
6:4;(B4,C3)
7:2;(R2,B4)
8:3;(B3,B3)
9:3;(R3,D4)
10:5;(B5,D3)
11:2;(R2,C3)
12:3;(B3,B4)
13:2;(R2,D2)
14:1;(B1,D2)
15:2;(R3,E3)
16:3;(B3,A5)

