#[思维之动爱恩斯坦棋 R][深藏不露 B][先手胜][2023.08.05 10:55 线上][2023 CCGC];
R:A5-3;A4-1;A3-2;B5-5;B4-4;C5-6;
B:C1-5;D2-4;D1-2;E3-3;E2-6;E1-1;
1:5;(R5,B4)
2:1;(B1,E2)
3:5;(R5,C3)
4:2;(B3,B2)
5:5;(R5,C2)
6:6;(B6,C2)
7:6;(R6,B2)
8:1;(B1,E3)
9:5;(R6,C1)
10:6;(B6,B3)
11:4;(R6,D1)
12:1;(B1,D3)
13:2;(R2,D4)
14:5;(B4,C3)
15:3;(R3,B4)
16:2;(B1,C3)
17:4;(R6,E1)

