#[爱恩斯坦棋博弈程序 B][深藏不露 R][先手胜][2023.08.04 21:53 线上][2023 CCGC];
R:A5-1;A4-6;A3-3;B5-2;B4-4;C5-5;
B:C1-6;D2-3;D1-5;E3-4;E2-1;E1-2;
1:5;(B5,D2)
2:1;(R1,A4)
3:4;(B4,C2)
4:1;(R1,A3)
5:4;(B4,B3)
6:6;(R6,C5)
7:5;(B5,C3)
8:5;(R4,C3)
9:5;(B4,B4)
10:3;(R4,D2)
11:1;(B1,D2)
12:3;(R1,B2)
13:2;(B2,D1)
14:2;(R1,C1)
15:3;(B4,A5)

