#[爱恩斯坦棋博弈程序 B][深藏不露 R][后手胜][2023.08.04 22:01 线上][2023 CCGC];
R:A5-1;A4-6;A3-3;B5-2;B4-4;C5-5;
B:C1-6;D2-4;D1-5;E3-3;E2-2;E1-1;
1:4;(B4,C3)
2:2;(R2,A3)
3:4;(B4,B4)
4:6;(R6,B4)
5:5;(B5,D3)
6:4;(R3,C4)
7:6;(B6,D3)
8:2;(R2,B2)
9:4;(B6,C4)
10:2;(R2,C2)
11:5;(B3,C2)
12:6;(R6,C4)
13:1;(B1,D1)
14:2;(R6,D3)
15:2;(B3,B3)
16:3;(R6,E2)
17:3;(B3,A4)
18:1;(R1,A4)
19:1;(B1,C2)
20:6;(R6,E1)

