#[爱恩斯坦棋博弈程序 B][深藏不露 R][后手胜][2023.08.04 22:28 线上][2023 CCGC];
R:A5-1;A4-6;A3-3;B5-2;B4-4;C5-5;
B:C1-1;D2-6;D1-3;E3-2;E2-4;E1-5;
1:1;(B1,D3)
2:5;(R5,B2)
3:2;(B2,B2)
4:2;(R2,B4)
5:3;(B3,D3)
6:3;(R3,D4)
7:6;(B6,D3)
8:4;(R3,E3)
9:6;(B6,C3)
10:4;(R3,E2)
11:1;(B2,A3)
12:1;(R1,B4)
13:2;(B2,A4)
14:3;(R3,E1)

