#[爱恩斯坦棋博弈程序 B][深藏不露 R][后手胜][2023.08.04 22:23 线上][2023 CCGC];
R:A5-1;A4-6;A3-3;B5-2;B4-4;C5-5;
B:C1-5;D2-2;D1-4;E3-1;E2-3;E1-6;
1:2;(B2,C3)
2:2;(R2,A3)
3:3;(B3,C2)
4:3;(R3,C4)
5:6;(B6,E2)
6:2;(R2,B3)
7:6;(B6,E3)
8:4;(R4,C3)
9:2;(B3,C3)
10:2;(R2,C3)
11:5;(B1,B2)
12:3;(R3,C3)
13:1;(B1,B3)
14:4;(R3,D2)
15:5;(B1,A4)
16:1;(R1,A4)
17:3;(B6,D4)
18:4;(R3,E1)

